Address  Ordinal Name                                                     Library                                                                     
0059821C         _perror                                                  /usr/lib/libSystem.B.dylib                                                  
00598AE4         _object_setIvar                                          /usr/lib/libobjc.A.dylib                                                    
00598AE0         _object_getClass                                         /usr/lib/libobjc.A.dylib                                                    
00598ADC         _objc_sync_exit                                          /usr/lib/libobjc.A.dylib                                                    
00598AD8         _objc_sync_enter                                         /usr/lib/libobjc.A.dylib                                                    
00598AD4         _objc_setProperty                                        /usr/lib/libobjc.A.dylib                                                    
00598AD0         _objc_retain                                             /usr/lib/libobjc.A.dylib                                                    
00598ACC         _objc_msgSend_stret                                      /usr/lib/libobjc.A.dylib                                                    
00598AC8         _objc_msgSendSuper2                                      /usr/lib/libobjc.A.dylib                                                    
00598AC4         _objc_msgSend                                            /usr/lib/libobjc.A.dylib                                                    
00598AC0         _objc_getProperty                                        /usr/lib/libobjc.A.dylib                                                    
00598ABC         _objc_getClass                                           /usr/lib/libobjc.A.dylib                                                    
00598AB8         _objc_exception_throw                                    /usr/lib/libobjc.A.dylib                                                    
00598AB4         _objc_exception_rethrow                                  /usr/lib/libobjc.A.dylib                                                    
00598AB0         _objc_enumerationMutation                                /usr/lib/libobjc.A.dylib                                                    
00598AAC         _objc_end_catch                                          /usr/lib/libobjc.A.dylib                                                    
00598AA8         _objc_ehtype_vtable                                      /usr/lib/libobjc.A.dylib                                                    
00598AA4         _objc_copyStruct                                         /usr/lib/libobjc.A.dylib                                                    
00598AA0         _objc_begin_catch                                        /usr/lib/libobjc.A.dylib                                                    
00598218         _modf                                                    /usr/lib/libSystem.B.dylib                                                  
00598A9C         _method_getName                                          /usr/lib/libobjc.A.dylib                                                    
00598214         _memset                                                  /usr/lib/libSystem.B.dylib                                                  
00598210         _memmove                                                 /usr/lib/libSystem.B.dylib                                                  
0059820C         _memcpy                                                  /usr/lib/libSystem.B.dylib                                                  
00598208         _memcmp                                                  /usr/lib/libSystem.B.dylib                                                  
00598204         _malloc                                                  /usr/lib/libSystem.B.dylib                                                  
00598200         _mach_absolute_time                                      /usr/lib/libSystem.B.dylib                                                  
005981FC         _lroundf                                                 /usr/lib/libSystem.B.dylib                                                  
005981F8         _logf                                                    /usr/lib/libSystem.B.dylib                                                  
005981F4         _localtime                                               /usr/lib/libSystem.B.dylib                                                  
005981F0         _localeconv                                              /usr/lib/libSystem.B.dylib                                                  
005981EC         _listen                                                  /usr/lib/libSystem.B.dylib                                                  
005981E8         _kill                                                    /usr/lib/libSystem.B.dylib                                                  
005983A4         _kUTTypeTIFF                                             /System/Library/Frameworks/MobileCoreServices.framework/MobileCoreServices  
005983A0         _kUTTypePNG                                              /System/Library/Frameworks/MobileCoreServices.framework/MobileCoreServices  
0059839C         _kUTTypeJPEG                                             /System/Library/Frameworks/MobileCoreServices.framework/MobileCoreServices  
00598398         _kUTTagClassMIMEType                                     /System/Library/Frameworks/MobileCoreServices.framework/MobileCoreServices  
